middleware,network_condition,message_size_kb,latency_ms,jitter_ms,packet_loss_percent,throughput_mbps,cpu_usage_percent
FastDDS,LAN,1,2.754,0.378,0.043,86.0,18.76
FastDDS,LAN,1,3.495,0.328,0.056,92.41,22.0
FastDDS,LAN,1,3.435,0.136,0.036,86.64,34.79
FastDDS,LAN,1,2.643,0.2,0.031,88.98,25.42
FastDDS,LAN,1,3.535,0.561,0.029,81.45,19.93
FastDDS,LAN,1,3.461,0.502,0.004,84.58,28.99
FastDDS,LAN,1,3.46,0.249,0.046,86.27,28.89
FastDDS,LAN,1,4.581,0.237,0.01,89.81,19.93
FastDDS,LAN,1,2.548,0.305,0.051,83.22,23.68
FastDDS,LAN,1,2.939,0.387,0.037,84.85,23.03
FastDDS,LAN,1,3.318,0.276,0.069,83.38,23.52
FastDDS,LAN,1,1.965,0.48,0.023,80.4,26.21
FastDDS,LAN,1,3.79,0.457,0.023,90.26,23.88
FastDDS,LAN,1,3.539,0.357,0.019,93.19,23.15
FastDDS,LAN,1,2.43,0.386,0.029,91.17,17.78
FastDDS,LAN,1,3.446,0.401,0.037,88.41,27.72
FastDDS,LAN,1,2.125,0.399,0.057,81.34,21.63
FastDDS,LAN,1,2.735,0.019,0.021,73.32,27.31
FastDDS,LAN,1,3.183,0.489,0.045,90.0,28.21
FastDDS,LAN,1,2.127,0.237,0.029,86.92,28.94
FastDDS,LAN,1,3.409,0.301,0.015,87.33,29.78
FastDDS,LAN,1,3.881,0.037,0.047,77.47,24.15
FastDDS,LAN,1,3.399,0.559,0.038,83.3,27.76
FastDDS,LAN,1,3.478,0.4,0.036,86.62,28.25
FastDDS,LAN,1,3.237,0.631,0.02,77.5,25.27
FastDDS,LAN,1,3.332,0.405,0.025,86.93,29.79
FastDDS,LAN,1,2.733,0.135,0.002,85.26,29.36
FastDDS,LAN,1,2.371,0.511,0.027,88.98,27.31
FastDDS,LAN,1,2.236,0.016,0.048,89.42,20.75
FastDDS,LAN,1,2.193,0.253,0.053,83.05,26.08
FastDDS,LAN,1,1.746,0.419,0.005,89.13,25.61
FastDDS,LAN,1,2.574,0.659,0.012,78.75,29.66
FastDDS,LAN,1,3.864,0.424,0.058,89.41,24.07
FastDDS,LAN,1,3.005,0.513,0.007,79.92,26.44
FastDDS,LAN,1,3.227,0.365,0.03,89.6,20.67
FastDDS,LAN,1,2.958,0.717,0.025,87.98,24.48
FastDDS,LAN,1,2.656,0.463,0.101,81.45,27.81
FastDDS,LAN,1,2.527,0.448,0.034,89.42,23.01
FastDDS,LAN,1,2.864,0.575,0.031,84.07,20.08
FastDDS,LAN,1,2.43,0.515,0.047,81.6,27.1
FastDDS,LAN,1,2.88,0.618,0.003,95.02,23.27
FastDDS,LAN,1,3.239,0.307,0.0,79.9,31.36
FastDDS,LAN,1,3.172,0.335,0.026,85.41,37.08
FastDDS,LAN,1,3.269,0.404,0.05,85.5,27.28
FastDDS,LAN,1,3.335,0.344,0.077,95.14,18.89
FastDDS,LAN,1,2.246,0.476,0.034,83.8,25.61
FastDDS,LAN,1,3.367,0.439,0.051,83.19,27.83
FastDDS,LAN,1,4.037,0.481,0.061,77.92,30.15
FastDDS,LAN,1,3.666,0.27,0.036,84.18,22.02
FastDDS,LAN,1,3.613,0.468,0.024,86.23,26.51
FastDDS,LAN,1,4.483,0.405,0.035,77.13,25.34
FastDDS,LAN,1,3.13,0.373,0.044,88.51,21.25
FastDDS,LAN,1,2.947,0.312,0.007,72.56,30.91
FastDDS,LAN,1,3.547,0.633,0.048,89.08,23.39
FastDDS,LAN,1,2.708,0.449,0.006,80.07,20.03
FastDDS,LAN,1,2.796,0.47,0.003,82.97,25.85
FastDDS,LAN,1,2.715,0.488,0.056,79.57,27.56
FastDDS,LAN,1,3.701,0.467,0.049,76.56,23.3
FastDDS,LAN,1,2.962,0.33,0.026,79.68,30.42
FastDDS,LAN,1,2.128,0.189,0.052,85.82,24.53
FastDDS,LAN,1,2.193,0.571,0.052,80.56,25.08
FastDDS,LAN,1,3.579,0.505,0.042,81.78,26.37
FastDDS,LAN,1,2.533,0.422,0.026,84.35,22.21
FastDDS,LAN,1,3.254,0.478,0.031,82.76,20.51
FastDDS,LAN,1,3.317,0.508,0.027,79.76,28.01
FastDDS,LAN,1,4.227,0.459,0.0,84.15,20.56
FastDDS,LAN,1,3.354,0.061,0.016,86.97,24.43
FastDDS,LAN,1,2.659,0.478,0.032,81.8,29.08
FastDDS,LAN,1,2.816,0.563,0.047,78.09,22.81
FastDDS,LAN,1,3.836,0.455,0.02,82.58,26.98
FastDDS,LAN,1,3.118,0.41,0.07,85.11,22.86
FastDDS,LAN,1,3.293,0.075,0.019,93.76,23.99
FastDDS,LAN,1,1.896,0.403,0.021,85.31,25.26
FastDDS,LAN,1,4.464,0.15,0.036,88.78,20.94
FastDDS,LAN,1,2.119,0.209,0.048,83.23,23.33
FastDDS,LAN,1,2.237,0.295,0.019,80.6,20.0
FastDDS,LAN,1,3.437,0.553,0.038,87.35,31.37
FastDDS,LAN,1,3.548,0.523,0.032,99.38,27.64
FastDDS,LAN,1,3.803,0.397,0.046,82.4,26.1
FastDDS,LAN,1,3.593,0.615,0.016,86.59,34.43
FastDDS,LAN,1,3.285,0.469,0.024,85.51,25.42
FastDDS,LAN,1,2.963,0.298,0.046,84.53,22.69
FastDDS,LAN,1,3.448,0.432,0.033,87.82,23.66
FastDDS,LAN,1,3.021,0.201,0.022,91.33,30.15
FastDDS,LAN,1,3.523,0.321,0.03,89.69,22.39
FastDDS,LAN,1,3.737,0.451,0.024,82.59,23.54
FastDDS,LAN,1,2.77,0.288,0.012,96.63,28.75
FastDDS,LAN,1,3.207,0.334,0.019,93.67,18.15
FastDDS,LAN,1,2.288,0.314,0.048,89.19,32.25
FastDDS,LAN,1,4.284,0.603,0.0,95.99,28.05
FastDDS,LAN,1,2.93,0.199,0.031,77.34,23.64
FastDDS,LAN,1,3.374,0.548,0.028,85.92,24.66
FastDDS,LAN,1,3.116,0.35,0.0,87.08,30.87
FastDDS,LAN,1,2.948,0.572,0.035,88.68,19.15
FastDDS,LAN,1,3.107,0.404,0.005,91.49,29.18
FastDDS,LAN,1,2.885,0.464,0.023,86.06,28.63
FastDDS,LAN,1,2.864,0.271,0.016,77.54,27.36
FastDDS,LAN,1,2.23,0.476,0.043,88.03,24.5
FastDDS,LAN,1,2.957,0.512,0.039,92.79,26.28
FastDDS,LAN,1,3.674,0.538,0.027,81.57,21.02
FastDDS,LAN,1,3.623,0.404,0.038,83.28,24.79
FastDDS,LAN,1,3.605,0.616,0.019,79.4,29.06
FastDDS,LAN,1,4.34,0.28,0.034,83.78,23.25
FastDDS,LAN,1,2.929,0.449,0.029,86.43,18.62
FastDDS,LAN,1,3.888,0.602,0.046,82.21,26.62
FastDDS,LAN,1,3.737,0.262,0.015,83.65,25.11
FastDDS,LAN,1,3.511,0.357,0.049,87.75,26.64
FastDDS,LAN,1,2.457,0.53,0.033,80.68,21.3
FastDDS,LAN,1,3.785,0.148,0.036,84.56,18.25
FastDDS,LAN,1,3.085,0.404,0.0,88.96,24.1
FastDDS,LAN,1,2.649,0.51,0.011,71.86,25.66
FastDDS,LAN,1,1.982,0.309,0.024,85.16,31.77
FastDDS,LAN,1,2.623,0.367,0.048,84.94,34.83
FastDDS,LAN,1,3.003,0.524,0.01,86.14,28.46
FastDDS,LAN,1,2.792,0.513,0.023,85.6,20.78
FastDDS,LAN,1,3.758,0.55,0.008,95.83,34.62
FastDDS,LAN,1,3.035,0.341,0.046,91.56,23.3
FastDDS,LAN,1,2.768,0.65,0.031,82.75,23.25
FastDDS,LAN,1,3.77,0.578,0.055,83.12,18.08
FastDDS,LAN,1,2.095,0.374,0.009,89.97,25.19
FastDDS,LAN,1,3.568,0.579,0.0,81.74,23.48
FastDDS,LAN,1,2.953,0.162,0.036,81.36,27.66
FastDDS,LAN,1,3.388,0.341,0.037,96.18,27.73
FastDDS,LAN,1,2.106,0.345,0.049,83.79,21.06
FastDDS,LAN,1,2.37,0.528,0.005,87.81,27.24
FastDDS,LAN,1,2.745,0.458,0.05,87.31,25.07
FastDDS,LAN,1,2.499,0.168,0.023,90.82,30.09
FastDDS,LAN,1,3.099,0.53,0.029,83.44,21.65
FastDDS,LAN,1,3.218,0.217,0.055,89.12,26.47
FastDDS,LAN,1,3.007,0.541,0.009,79.74,23.88
FastDDS,LAN,1,2.338,0.418,0.047,84.49,24.99
FastDDS,LAN,1,2.635,0.399,0.025,82.97,26.06
FastDDS,LAN,1,3.64,0.317,0.036,87.92,23.08
FastDDS,LAN,1,3.346,0.491,0.032,88.45,27.0
FastDDS,LAN,1,1.94,0.28,0.015,90.0,29.86
FastDDS,LAN,1,2.959,0.396,0.004,75.8,28.24
FastDDS,LAN,1,2.833,0.49,0.024,96.17,21.82
FastDDS,LAN,1,3.369,0.591,0.036,89.38,25.05
FastDDS,LAN,1,2.618,0.542,0.003,87.74,30.9
FastDDS,LAN,1,3.082,0.357,0.052,86.59,25.23
FastDDS,LAN,1,3.597,0.45,0.024,72.52,27.64
FastDDS,LAN,1,2.654,0.421,0.0,73.2,16.86
FastDDS,LAN,1,2.549,0.213,0.029,86.31,27.65
FastDDS,LAN,1,3.062,0.378,0.041,91.21,27.11
FastDDS,LAN,1,3.031,0.306,0.012,87.08,18.91
FastDDS,LAN,1,3.719,0.662,0.0,82.84,27.22
FastDDS,LAN,1,3.107,0.364,0.053,90.64,26.62
FastDDS,LAN,1,3.03,0.125,0.03,92.67,27.48
FastDDS,LAN,1,2.763,0.262,0.012,80.59,27.86
FastDDS,LAN,1,3.303,0.25,0.024,82.5,20.41
FastDDS,LAN,1,2.602,0.353,0.031,83.76,23.46
FastDDS,LAN,1,3.502,0.331,0.044,78.87,22.74
FastDDS,LAN,1,3.086,0.376,0.081,80.25,35.79
FastDDS,LAN,1,2.266,0.39,0.022,82.15,25.98
FastDDS,LAN,1,4.03,0.039,0.048,91.5,28.83
FastDDS,LAN,1,3.186,0.595,0.0,81.77,27.7
FastDDS,LAN,1,3.243,0.342,0.016,85.25,21.1
FastDDS,LAN,1,2.736,0.348,0.0,85.36,19.65
FastDDS,LAN,1,4.147,0.156,0.047,88.83,26.18
FastDDS,LAN,1,4.144,0.53,0.003,91.05,25.02
FastDDS,LAN,1,3.597,0.377,0.036,90.06,21.56
FastDDS,LAN,1,2.509,0.518,0.025,86.38,26.72
FastDDS,LAN,1,3.573,0.257,0.009,82.7,23.49
FastDDS,LAN,1,3.989,0.395,0.038,80.47,22.53
FastDDS,LAN,1,3.037,0.546,0.01,84.51,23.4
FastDDS,LAN,1,2.639,0.236,0.026,94.45,24.16
FastDDS,LAN,1,2.387,0.266,0.041,77.07,22.34
FastDDS,LAN,1,3.872,0.013,0.051,87.25,29.79
FastDDS,LAN,1,3.126,0.323,0.001,86.62,24.7
FastDDS,LAN,1,4.5,0.463,0.026,87.21,21.22
FastDDS,LAN,1,4.092,0.477,0.024,95.83,26.39
FastDDS,LAN,1,3.785,0.388,0.042,75.57,24.0
FastDDS,LAN,1,3.644,0.242,0.061,77.33,19.57
FastDDS,LAN,1,3.198,0.436,0.002,89.46,18.78
FastDDS,LAN,1,2.827,0.452,0.068,83.99,25.46
FastDDS,LAN,1,2.604,0.652,0.021,91.41,24.49
FastDDS,LAN,1,2.471,0.304,0.005,80.59,21.55
FastDDS,LAN,1,2.726,0.503,0.012,86.27,26.8
FastDDS,LAN,1,1.772,0.229,0.005,83.19,26.64
FastDDS,LAN,1,3.498,0.337,0.036,80.4,19.91
FastDDS,LAN,1,2.697,0.394,0.055,81.3,30.54
FastDDS,LAN,1,3.229,0.314,0.001,81.76,19.3
FastDDS,LAN,1,3.305,0.524,0.028,99.5,25.77
FastDDS,LAN,1,2.385,0.333,0.033,74.39,27.31
FastDDS,LAN,1,2.811,0.269,0.021,97.47,24.39
FastDDS,LAN,1,3.972,0.2,0.067,95.4,26.49
FastDDS,LAN,1,2.35,0.629,0.028,95.04,23.34
FastDDS,LAN,1,4.083,0.45,0.021,92.42,15.67
FastDDS,LAN,1,3.318,0.637,0.011,89.44,24.26
FastDDS,LAN,1,2.235,0.222,0.019,87.44,29.71
FastDDS,LAN,1,2.881,0.401,0.006,92.66,23.06
FastDDS,LAN,1,3.746,0.248,0.003,81.51,24.76
FastDDS,LAN,1,2.448,0.434,0.0,88.14,30.21
FastDDS,LAN,1,2.653,0.369,0.022,93.64,23.83
FastDDS,LAN,1,3.158,0.14,0.033,79.03,21.71
FastDDS,LAN,1,2.976,0.305,0.033,76.49,22.98
FastDDS,LAN,1,2.452,0.312,0.082,92.28,21.44
FastDDS,LAN,1,2.978,0.461,0.025,83.8,23.63
FastDDS,LAN,1,2.553,0.456,0.021,87.82,28.05
FastDDS,LAN,1,2.685,0.411,0.0,83.57,22.41
FastDDS,LAN,1,3.569,0.489,0.019,81.84,28.28
FastDDS,LAN,1,3.079,0.587,0.038,88.74,21.23
FastDDS,LAN,1,3.947,0.498,0.037,93.65,25.26
FastDDS,LAN,1,2.737,0.519,0.027,86.68,23.94
FastDDS,LAN,1,3.028,0.534,0.038,82.53,25.69
FastDDS,LAN,1,2.077,0.283,0.028,73.96,20.06
FastDDS,LAN,1,3.398,0.266,0.039,84.24,24.08
FastDDS,LAN,1,2.961,0.353,0.048,82.53,31.69
FastDDS,LAN,1,2.686,0.241,0.0,97.53,20.61
FastDDS,LAN,1,2.259,0.51,0.043,81.98,31.27
FastDDS,LAN,1,3.186,0.153,0.024,70.26,23.42
FastDDS,LAN,1,3.328,0.408,0.0,78.96,24.98
FastDDS,LAN,1,2.867,0.34,0.053,81.32,22.75
FastDDS,LAN,1,2.227,0.397,0.041,90.1,27.5
FastDDS,LAN,1,2.22,0.6,0.018,89.72,28.58
FastDDS,LAN,1,2.536,0.616,0.028,85.34,21.74
FastDDS,LAN,1,3.286,0.261,0.049,85.82,30.86
FastDDS,LAN,1,3.131,0.313,0.016,82.84,20.9
FastDDS,LAN,1,3.106,0.049,0.002,77.74,22.07
FastDDS,LAN,1,3.125,0.236,0.0,90.08,16.42
FastDDS,LAN,1,3.182,0.255,0.032,75.75,22.46
FastDDS,LAN,1,2.403,0.327,0.015,93.25,26.12
FastDDS,LAN,1,2.823,0.292,0.01,86.33,26.04
FastDDS,LAN,1,2.203,0.36,0.049,96.92,23.37
FastDDS,LAN,1,2.814,0.454,0.039,88.79,22.44
FastDDS,LAN,1,2.854,0.36,0.069,99.05,27.74
FastDDS,LAN,1,3.822,0.374,0.042,86.74,23.22
FastDDS,LAN,1,3.522,0.251,0.058,74.37,24.62
FastDDS,LAN,1,2.481,0.142,0.032,82.36,20.04
FastDDS,LAN,1,2.765,0.472,0.001,98.81,17.0
FastDDS,LAN,1,3.686,0.182,0.021,73.76,23.33
FastDDS,LAN,1,3.899,0.593,0.055,99.38,22.49
FastDDS,LAN,1,2.318,0.549,0.0,75.95,30.02
FastDDS,LAN,1,2.272,0.717,0.021,86.16,15.35
FastDDS,LAN,1,3.173,0.54,0.061,80.75,23.23
FastDDS,LAN,1,3.693,0.488,0.046,84.94,23.05
FastDDS,LAN,1,3.263,0.631,0.043,94.9,16.99
FastDDS,LAN,1,2.093,0.532,0.026,91.07,15.95
FastDDS,LAN,1,2.237,0.161,0.037,89.23,28.24
FastDDS,LAN,1,2.929,0.173,0.033,89.63,23.13
FastDDS,LAN,1,2.599,0.436,0.008,91.23,27.69
FastDDS,LAN,1,3.521,0.444,0.006,82.22,18.39
FastDDS,LAN,1,2.368,0.358,0.04,86.2,26.27
FastDDS,LAN,1,2.789,0.385,0.027,91.85,22.89
FastDDS,LAN,1,2.543,0.3,0.064,78.88,22.96
FastDDS,LAN,1,2.766,0.35,0.028,93.41,26.71
FastDDS,LAN,1,2.943,0.269,0.058,93.77,27.69
FastDDS,LAN,1,3.736,0.357,0.014,72.91,29.52
FastDDS,LAN,1,3.309,0.514,0.0,88.67,27.22
FastDDS,LAN,1,3.443,0.397,0.024,82.8,19.95
FastDDS,LAN,1,3.115,0.406,0.021,101.68,23.61
FastDDS,LAN,1,3.686,0.317,0.014,97.49,31.96
FastDDS,LAN,1,2.761,0.422,0.028,83.83,23.52
FastDDS,LAN,1,3.054,0.545,0.051,88.8,26.16
FastDDS,LAN,1,2.778,0.307,0.052,84.19,22.17
FastDDS,LAN,1,2.524,0.48,0.015,81.91,33.11
FastDDS,LAN,1,3.805,0.286,0.006,79.47,18.71
FastDDS,LAN,1,3.265,0.464,0.041,86.21,15.79
FastDDS,LAN,1,2.674,0.196,0.04,94.81,33.74
FastDDS,LAN,1,3.213,0.463,0.008,82.96,25.42
FastDDS,LAN,1,1.641,0.099,0.034,87.65,19.18
FastDDS,LAN,1,3.924,0.419,0.018,87.59,31.21
FastDDS,LAN,1,2.454,0.56,0.047,91.83,23.03
FastDDS,LAN,1,2.333,0.377,0.029,74.58,25.64
FastDDS,LAN,1,3.869,0.485,0.023,76.56,28.15
FastDDS,LAN,1,2.975,0.623,0.003,87.56,22.6
FastDDS,LAN,1,3.241,0.601,0.01,87.09,24.41
FastDDS,LAN,1,3.687,0.222,0.022,96.4,33.51
FastDDS,LAN,1,3.478,0.376,0.037,93.86,23.74
FastDDS,LAN,4,1.75,0.299,0.019,89.87,25.06
FastDDS,LAN,4,2.659,0.471,0.023,81.63,20.72
FastDDS,LAN,4,3.355,0.235,0.043,89.44,29.27
FastDDS,LAN,4,2.906,0.373,0.046,80.48,23.65
FastDDS,LAN,4,2.944,0.186,0.006,81.5,23.53
FastDDS,LAN,4,3.291,0.477,0.067,92.02,23.49
FastDDS,LAN,4,3.593,0.316,0.026,77.69,20.67
FastDDS,LAN,4,2.554,0.382,0.025,79.86,28.99
FastDDS,LAN,4,3.4,0.496,0.039,78.92,23.34
FastDDS,LAN,4,2.533,0.236,0.023,71.95,29.34
FastDDS,LAN,4,3.012,0.647,0.021,84.91,23.06
FastDDS,LAN,4,3.514,0.497,0.039,92.37,23.44
FastDDS,LAN,4,3.42,0.485,0.028,88.75,28.39
FastDDS,LAN,4,3.486,0.419,0.025,102.72,20.46
FastDDS,LAN,4,2.771,0.484,0.017,86.8,30.52
FastDDS,LAN,4,2.709,0.304,0.001,97.05,24.29
FastDDS,LAN,4,2.632,0.387,0.002,86.47,33.31
FastDDS,LAN,4,3.069,0.44,0.042,73.93,26.26
FastDDS,LAN,4,2.568,0.379,0.042,88.08,17.92
FastDDS,LAN,4,2.71,0.51,0.001,94.83,22.07
FastDDS,LAN,4,2.796,0.71,0.034,83.11,25.07
FastDDS,LAN,4,2.75,0.436,0.043,79.29,28.34
FastDDS,LAN,4,3.437,0.05,0.027,87.01,33.52
FastDDS,LAN,4,3.368,0.499,0.04,91.21,20.74
FastDDS,LAN,4,3.042,0.253,0.045,80.88,28.52
FastDDS,LAN,4,1.945,0.382,0.077,96.66,25.0
FastDDS,LAN,4,2.178,0.472,0.015,85.12,27.35
FastDDS,LAN,4,3.249,0.475,0.022,76.71,26.77
FastDDS,LAN,4,4.141,0.515,0.037,91.68,23.11
FastDDS,LAN,4,3.807,0.493,0.017,73.24,23.34
FastDDS,LAN,4,2.741,0.3,0.018,85.56,22.51
FastDDS,LAN,4,3.331,0.484,0.055,94.43,27.97
FastDDS,LAN,4,3.435,0.259,0.048,83.37,25.52
FastDDS,LAN,4,2.651,0.401,0.041,88.42,28.03
FastDDS,LAN,4,3.933,0.683,0.057,83.94,20.05
FastDDS,LAN,4,3.36,0.459,0.055,91.9,29.55
FastDDS,LAN,4,3.019,0.559,0.0,78.83,30.49
FastDDS,LAN,4,3.424,0.449,0.038,95.24,24.42
FastDDS,LAN,4,2.51,0.509,0.033,89.92,27.72
FastDDS,LAN,4,2.699,0.568,0.032,89.94,31.3
FastDDS,LAN,4,4.131,0.268,0.08,91.89,28.33
FastDDS,LAN,4,4.759,0.617,0.068,84.92,25.48
FastDDS,LAN,4,4.109,0.401,0.033,87.86,17.15
FastDDS,LAN,4,3.724,0.435,0.0,88.15,19.89
FastDDS,LAN,4,3.096,0.448,0.058,85.8,18.05
FastDDS,LAN,4,2.822,0.559,0.041,81.27,22.33
FastDDS,LAN,4,2.523,0.385,0.033,75.84,15.15
FastDDS,LAN,4,1.966,0.385,0.065,81.21,23.36
FastDDS,LAN,4,2.643,0.55,0.048,87.28,25.83
FastDDS,LAN,4,2.743,0.221,0.003,84.27,22.64
FastDDS,LAN,4,2.464,0.413,0.022,85.89,25.77
FastDDS,LAN,4,2.172,0.195,0.028,92.9,23.13
FastDDS,LAN,4,2.867,0.745,0.047,92.83,25.47
FastDDS,LAN,4,3.425,0.347,0.033,75.82,26.48
FastDDS,LAN,4,3.148,0.525,0.005,79.01,18.96
FastDDS,LAN,4,3.578,0.551,0.042,88.72,29.38
FastDDS,LAN,4,3.485,0.285,0.021,82.96,22.77
FastDDS,LAN,4,2.724,0.565,0.055,79.91,22.17
FastDDS,LAN,4,3.571,0.246,0.048,88.66,28.96
FastDDS,LAN,4,3.14,0.367,0.015,90.44,22.8
FastDDS,LAN,4,3.564,0.663,0.026,94.87,31.3
FastDDS,LAN,4,3.264,0.464,0.027,92.33,27.39
FastDDS,LAN,4,3.825,0.322,0.047,95.79,21.41
FastDDS,LAN,4,3.576,0.531,0.019,85.48,29.68
FastDDS,LAN,4,4.15,0.47,0.015,97.51,27.85
FastDDS,LAN,4,3.042,0.378,0.041,81.02,22.29
FastDDS,LAN,4,3.912,0.446,0.017,78.45,27.2
FastDDS,LAN,4,3.371,0.522,0.02,91.76,23.48
FastDDS,LAN,4,3.671,0.233,0.058,89.06,21.95
FastDDS,LAN,4,1.8,0.343,0.078,77.38,24.43
FastDDS,LAN,4,2.999,0.51,0.018,88.87,28.84
FastDDS,LAN,4,3.324,0.588,0.051,81.62,24.11
FastDDS,LAN,4,3.692,0.551,0.05,85.27,24.91
FastDDS,LAN,4,3.579,0.467,0.045,76.14,12.62
FastDDS,LAN,4,2.343,0.32,0.0,89.28,29.59
FastDDS,LAN,4,3.247,0.887,0.026,92.93,26.84
FastDDS,LAN,4,4.267,0.345,0.044,91.21,31.07
FastDDS,LAN,4,4.066,0.594,0.054,89.88,15.24
FastDDS,LAN,4,2.889,0.252,0.005,77.04,25.78
FastDDS,LAN,4,3.265,0.248,0.028,92.57,18.4
FastDDS,LAN,4,2.8,0.463,0.017,78.54,27.87
FastDDS,LAN,4,3.148,0.565,0.027,87.3,17.02
FastDDS,LAN,4,3.112,0.51,0.044,86.78,20.54
FastDDS,LAN,4,2.712,0.376,0.046,73.95,31.67
FastDDS,LAN,4,2.475,0.311,0.038,83.26,23.71
FastDDS,LAN,4,3.692,0.517,0.034,84.6,33.45
FastDDS,LAN,4,3.235,0.2,0.004,88.79,24.48
FastDDS,LAN,4,1.79,0.598,0.062,84.35,27.67
FastDDS,LAN,4,4.196,0.221,0.019,76.5,25.37
FastDDS,LAN,4,3.579,0.258,0.065,91.87,13.93
FastDDS,LAN,4,2.468,0.502,0.001,86.28,24.64
FastDDS,LAN,4,2.726,0.393,0.004,81.46,21.37
FastDDS,LAN,4,3.324,0.401,0.004,82.75,21.5
FastDDS,LAN,4,3.405,0.083,0.0,89.26,22.64
FastDDS,LAN,4,3.583,0.517,0.025,79.34,23.41
FastDDS,LAN,4,3.402,0.674,0.029,90.77,29.6
FastDDS,LAN,4,2.459,0.467,0.02,90.6,23.31
FastDDS,LAN,4,3.29,0.149,0.06,79.37,20.93
FastDDS,LAN,4,2.661,0.372,0.049,80.49,28.64
FastDDS,LAN,4,3.205,0.489,0.023,86.04,27.3
FastDDS,LAN,4,2.752,0.428,0.015,81.77,25.68
FastDDS,LAN,4,4.163,0.525,0.004,80.74,25.69
FastDDS,LAN,4,3.331,0.381,0.03,80.41,22.87
FastDDS,LAN,4,3.524,0.366,0.009,95.12,23.76
FastDDS,LAN,4,2.008,0.64,0.03,90.39,30.97
FastDDS,LAN,4,3.232,0.398,0.039,96.1,31.61
FastDDS,LAN,4,2.875,0.406,0.06,83.27,29.28
FastDDS,LAN,4,3.141,0.439,0.0,80.49,25.91
FastDDS,LAN,4,4.152,0.416,0.025,94.29,22.04
FastDDS,LAN,4,3.894,0.428,0.044,91.25,24.84
FastDDS,LAN,4,2.694,0.396,0.0,82.91,23.36
FastDDS,LAN,4,3.404,0.494,0.043,95.8,30.98
FastDDS,LAN,4,3.903,0.525,0.011,94.6,22.8
FastDDS,LAN,4,2.947,0.292,0.037,85.32,27.28
FastDDS,LAN,4,2.749,0.22,0.021,83.57,27.95
FastDDS,LAN,4,4.391,0.51,0.037,78.83,17.78
FastDDS,LAN,4,2.853,0.226,0.004,94.4,23.65
FastDDS,LAN,4,3.233,0.262,0.05,99.12,23.03
FastDDS,LAN,4,2.872,0.491,0.075,85.35,27.2
FastDDS,LAN,4,3.989,0.414,0.042,87.87,29.35
FastDDS,LAN,4,2.764,0.244,0.031,83.87,26.26
FastDDS,LAN,4,3.344,0.273,0.016,93.39,36.74
FastDDS,LAN,4,2.635,0.304,0.009,82.2,22.69
FastDDS,LAN,4,2.948,0.779,0.015,79.13,27.97
FastDDS,LAN,4,2.749,0.535,0.0,80.24,23.33
FastDDS,LAN,4,2.498,0.432,0.073,81.74,32.29
FastDDS,LAN,4,2.783,0.425,0.034,92.27,31.38
FastDDS,LAN,4,3.368,0.253,0.054,88.97,21.12
FastDDS,LAN,4,3.95,0.445,0.0,85.2,19.79
FastDDS,LAN,4,3.684,0.359,0.023,88.97,22.6
FastDDS,LAN,4,1.954,0.425,0.026,89.53,22.37
FastDDS,LAN,4,2.465,0.373,0.024,81.44,20.25
FastDDS,LAN,4,2.276,0.108,0.016,85.64,24.09
FastDDS,LAN,4,4.731,0.458,0.019,79.2,20.98
